question,answer
Hello,"Hello, how can I assist you today?"
Hi,"Hello, how can I assist you today?"
Is anyone there?,"Hello, how can I assist you today?"
Hi there,"Hello, how can I assist you today?"
Hay,"Hello, how can I assist you today?"
hi,"Hello, how can I assist you today?"
hello,"Hello, how can I assist you today?"
hi there,"Hello, how can I assist you today?"
hey,"Hello, how can I assist you today?"
Hey,"Hello, how can I assist you today?"
hay,"Hello, how can I assist you today?"
Bye,See you later
Bye,Have a nice day
Bye,Bye! Come back again
See you later,See you later
See you later,Have a nice day
See you later,Bye! Come back again
Goodbye,See you later
Goodbye,Have a nice day
Goodbye,Bye! Come back again
bye,See you later
bye,Have a nice day
bye,Bye! Come back again
Thanks,Happy to help!
Thanks,Any time!
Thanks,My pleasure
Thanks,You're most welcome!
Thank you,Happy to help!
Thank you,Any time!
Thank you,My pleasure
Thank you,You're most welcome!
That's helpful,Happy to help!
That's helpful,Any time!
That's helpful,My pleasure
That's helpful,You're most welcome!
Thanks for the help,Happy to help!
Thanks for the help,Any time!
Thanks for the help,My pleasure
Thanks for the help,You're most welcome!
Who are you?,I'm your bot assistant.
Who are you?,I'm an Artificial Intelligent bot.
What are you?,I'm your bot assistant.
What are you?,I'm an Artificial Intelligent bot.
Tell me about yourself,I'm your bot assistant.
Tell me about yourself,I'm an Artificial Intelligent bot.
What types of activities does AMSSNuR regulate?,"AMSSNuR regulates activities and installations using ionizing radiation sources and Category I final storage facilities. 
What are the responsibilities of AMSSNuR?,"AMSSNuR regulates activities and installations using ionizing radiation sources and Category I final storage facilities. 
responsabilities,"AMSSNuR regulates activities and installations using ionizing radiation sources and Category I final storage facilities. 
What is AMSSNuR's primary role?,"AMSSNuR instructs authorization requests, defines technical requirements, and approves the commissioning of activities involving ionizing radiation sources and Category I final storage facilities. 
The role of AMSSNuR,"AMSSNuR instructs authorization requests, defines technical requirements, and approves the commissioning of activities involving ionizing radiation sources and Category I final storage facilities. To know more information, please visit the official website of the agency: http://www.amssnur.org.ma"
the role of this company,"AMSSNuR instructs authorization requests, defines technical requirements, and approves the commissioning of activities involving ionizing radiation sources and Category I final storage facilities. 
AMSSNur's role,"AMSSNuR instructs authorization requests, defines technical requirements, and approves the commissioning of activities involving ionizing radiation sources and Category I final storage facilities. To know more information, please visit the official website of the agency: http://www.amssnur.org.ma"
role,"AMSSNuR instructs authorization requests, defines technical requirements, and approves the commissioning of activities involving ionizing radiation sources and Category I final storage facilities. To know more information, please visit the official website of the agency: http://www.amssnur.org.ma"
What specific responsibilities does AMSSNuR have during the initial control phase?,"During the initial control phase, AMSSNuR sets conditions that must be followed, such as operational requirements for installations and safety measures during the transportation of radioactive substances. To know more information, please visit the official website of the agency: http://www.amssnur.org.ma"
control phase,"During the initial control phase, AMSSNuR sets conditions that must be followed, such as operational requirements for installations and safety measures during the transportation of radioactive substances. To know more information, please visit the official website of the agency: http://www.amssnur.org.ma"
responsibilities and control,"During the initial control phase, AMSSNuR sets conditions that must be followed, such as operational requirements for installations and safety measures during the transportation of radioactive substances. 
What role does AMSSNuR play in legislative and regulatory processes concerning nuclear and radiological safety?,"AMSSNuR proposes and provides its opinion on legislative and regulatory texts related to nuclear and radiological safety. They establish technical requirements and regulations that are approved by the Administration and publish best practice guides for operators as necessary. 
Legislative,"AMSSNuR proposes and provides its opinion on legislative and regulatory texts related to nuclear and radiological safety. They establish technical requirements and regulations that are approved by the Administration and publish best practice guides for operators as necessary."
regulatory,"AMSSNuR proposes and provides its opinion on legislative and regulatory texts related to nuclear and radiological safety. They establish technical requirements and regulations that are approved by the Administration and publish best practice guides for operators as necessary. "
