Question,Réponse
bonjour,"bonjour , comment puis je vous aider aujourd hui ?"
salut,"bonjour , comment puis je vous aider aujourd hui ?"
y a t il quelqu un ?,"bonjour , comment puis je vous aider aujourd hui ?"
salut là bas,"bonjour , comment puis je vous aider aujourd hui ?"
coucou,"bonjour , comment puis je vous aider aujourd hui ?"
salut,"bonjour , comment puis je vous aider aujourd hui ?"
bonjour,"bonjour , comment puis je vous aider aujourd hui ?"
salut là bas,"bonjour , comment puis je vous aider aujourd hui ?"
hé,"bonjour , comment puis je vous aider aujourd hui ?"
hé,"bonjour , comment puis je vous aider aujourd hui ?"
coucou,"bonjour , comment puis je vous aider aujourd hui ?"
au revoir,à plus tard
au revoir,bonne journée
au revoir,au revoir ! revenez bientôt
à plus tard,à plus tard
à plus tard,bonne journée
à plus tard,au revoir ! revenez bientôt
adieu,à plus tard
adieu,bonne journée
adieu,au revoir ! revenez bientôt
au revoir,à plus tard
au revoir,bonne journée
au revoir,au revoir ! revenez bientôt
merci,heureux d aider !
merci,n importe quand !
merci,avec plaisir
merci,vous êtes le bienvenu !
merci beaucoup,heureux d aider !
merci beaucoup,n importe quand !
merci beaucoup,avec plaisir
merci beaucoup,vous êtes le bienvenu !
c est utile,heureux d aider !
c est utile,n importe quand !
c est utile,avec plaisir
c est utile,vous êtes le bienvenu !
merci pour l aide,heureux d aider !
merci pour l aide,n importe quand !
merci pour l aide,avec plaisir
merci pour l aide,vous êtes le bienvenu !
qui êtes vous ?,je suis votre assistante bot .
qui êtes vous ?,je suis un bot intelligent artificiel .
qu êtes vous ?,je suis votre assistante bot .
qu êtes vous ?,je suis un bot intelligent artificiel .
parlez moi de vous,je suis votre assistante bot .
parlez moi de vous,je suis un bot intelligent artificiel .
quelles sont les activités réglementées par l amssnur ?,"l amssnur réglemente les activités et installations utilisant des sources de rayonnements ionisants et les installations de stockage définitif de catégorie i . pour plus d informations , veuillez visiter le site officiel de l agence http www . amssnur . org . ma"
quelles sont les responsabilités de l amssnur ?,"l amssnur réglemente les activités et installations utilisant des sources de rayonnements ionisants et les installations de stockage définitif de catégorie i . pour plus d informations , veuillez visiter le site officiel de l agence http www . amssnur . org . ma"
responsabilités,"l amssnur réglemente les activités et installations utilisant des sources de rayonnements ionisants et les installations de stockage définitif de catégorie i . pour plus d informations , veuillez visiter le site officiel de l agence http www . amssnur . org . ma"
quel est le rôle principal de l amssnur ?,"l amssnur instruit les demandes d autorisation , définit les exigences techniques , et approuve la mise en service des activités impliquant des sources de rayonnements ionisants et des installations de stockage définitif de catégorie i . pour plus d informations , veuillez visiter le site officiel de l agence http www . amssnur . org . ma"
le rôle de l amssnur,"l amssnur instruit les demandes d autorisation , définit les exigences techniques , et approuve la mise en service des activités impliquant des sources de rayonnements ionisants et des installations de stockage définitif de catégorie i . pour plus d informations , veuillez visiter le site officiel de l agence http www . amssnur . org . ma"
